record_id	qualifying_dimension_codes
351	LD TT ENV FL FA PSR REL ELE MC WW MT SBE POL FGK AMP VEC NE
352	LD TT ENV FL PSR REL ELE OP FS COA MC MT SBE ECO POL FGK VEC BH NE
353	LD TT PSR REL OP COA MC WW MT SBE ECO POL CSG FGK KT VEC BH NE
354	LD TT ENV FL FA PSR REL ELE OP COA MC WW SBE ECO POL FGK VEC BH NE
355	LD TT ENV FA SBE VEC
356	LD TT ENV SWT FL FA PSR REL ELE MC RR DMM VEC BH NE
357	LD TT ENV PSR REL ELE MT POL DMM VEC BH NE
358	LD TT PSR REL ELE ECO POL RR VEC NE
359	LD TT ENV FA PSR REL ELE COA MC WW MT ECO POL CSG RR DMM VEC BH NE
360	LD TT ENV FL PSR REL ELE FS MC ECO POL CSG RR DMM KT VEC BH NE
361	LD TT ENV SWT FA PSR REL ELE FS COA MC WW MT ECO POL CSG RR AMP KT VEC BH NE
362	LD TT ENV FA PSR REL ELE FS COA MC WW SBE ECO POL CSG RR DMM AMP KT VEC BH NE
363	LD TT ENV FL PSR REL ELE FS MC ECO POL CSG RR DMM VEC BH NE
364	LD TT ENV FL FA PSR REL ELE OP FS COA MC WW ECO CSG DMM AMP VEC BH NE
365	LD TT ENV SWT PSR REL ELE MC WW MT POL CSG FGK DMM VEC NE
366	LD TT ENV SWT FA PSR REL ELE OP FS MC WW SBE ECO POL CSG FGK DMM AMP KT VEC BH NE
367	LD TT ENV SWT FL PSR REL ELE FS COA MC MT ECO POL CSG RR DMM VEC NE
368	LD TT ENV FA PSR REL ELE COA MC WW MT ECO POL CSG DMM AMP VEC BH NE
369	LD TT ENV SWT FA PSR REL OP MC WW MT ECO POL CSG RR DMM AMP VEC BH NE
370	LD TT ENV SWT FL FA PSR REL ELE FS MC WW ECO POL CSG RR DMM AMP VEC BH NE
371	LD TT ENV SWT FA PSR REL ELE FS COA MC WW ECO POL CSG RR DMM AMP VEC BH NE
372	LD TT FL FA PSR REL FS COA MC WW POL CSG RR DMM AMP VEC BH NE
373	LD TT ENV SWT FA PSR REL ELE MC WW MT SBE ECO POL CSG FGK RR DMM AMP VEC BH NE
374	LD TT ENV SWT FL FA PSR REL OP FS COA MC ECO POL CSG FGK AMP VEC NE
375	LD TT ENV SWT PSR REL ELE OP FS MC ECO POL CSG AMP KT VEC NE
376	LD TT ENV SWT PSR REL ELE FS COA MC SBE ECO POL CSG AMP VEC BH NE
377	LD TT ENV SWT PSR REL ELE FS COA MC WW MT SBE ECO TRD POL CSG RR AMP VEC NE
378	LD TT PSR REL ELE COA MC WW MT SBE ECO POL CSG FGK AMP VEC NE TIR
379	LD TT ENV SWT FA PSR REL ELE OP FS MC WW SBE ECO POL FGK AMP VEC BH NE
380	LD TT ENV SWT FL PSR REL ELE FS COA MC WW ECO TRD POL FGK VEC NE
381	LD TT ENV SWT PSR REL ELE FS MC SBE ECO POL CSG AMP VEC NE
382	LD TT ENV PSR REL ELE FS MC WW MT ECO POL CSG FGK AMP VEC BH NE
383	LD TT ENV SWT FL FA PSR REL ELE COA MC MT SBE ECO POL FGK AMP VEC BH NE
384	LD TT ENV FL FA PSR REL OP FS MC SBE ECO POL CSG AMP VEC NE
385	LD TT ENV SWT FA PSR REL ELE FS COA MC SBE ECO POL AMP VEC BH NE
386	LD TT ENV SWT FL FA PSR REL OP FS MC WW MT SBE ECO TRD POL CSG KT VEC BH NE
387	LD TT ENV FL FA PSR REL ELE OP FS MC WW MT SBE ECO POL CSG AMP VEC NE
388	LD TT ENV SWT PSR REL ELE OP FS MC ECO POL CSG FGK AMP KT VEC NE
389	LD TT ENV SWT FL FA PSR REL ELE FS COA MC ECO POL FGK VEC BH NE
390	LD TT ENV FL FA PSR REL ELE OP FS COA MC WW SBE ECO POL CSG FGK AMP VEC BH NE
391	LD TT ENV SWT FL FA PSR REL ELE OP FS SBE ECO POL FGK VEC BH NE
392	LD TT ENV SWT FL FA PSR REL ELE OP FS COA MC WW SBE ECO POL CSG RR AMP KT VEC BH NE
393	LD TT ENV SWT FL PSR REL ELE OP FS COA MC WW SBE ECO POL CSG FGK AMP VEC BH NE
394	LD TT ENV SWT FA PSR REL ELE MC WW MT ECO POL CSG AMP VEC NE
395	LD TT ENV SWT FL FA PSR REL ELE OP FS COA MC MT SBE ECO POL CSG FGK AMP KT VEC BH NE
396	LD TT ENV SWT FL FA PSR REL ELE OP FS MC SBE ECO POL CSG FGK AMP KT VEC BH NE
397	LD TT ENV SWT FL FA PSR REL ELE FS COA MC WW SBE ECO POL CSG RR AMP KT VEC BH NE
398	LD TT ENV SWT FL FA PSR REL ELE FS COA MC SBE ECO POL CSG AMP VEC BH NE
399	LD TT ENV SWT FL FA PSR REL ELE OP FS MC MT SBE ECO TRD POL CSG FGK AMP VEC BH NE
400	LD TT ENV SWT PSR REL ELE FS COA MC WW MT SBE ECO TRD POL CSG RR AMP KT VEC BH NE
