entity_id,preferred_label,entity_type,identity_state,review_status,mention_assertions,decision_ids,ambiguity_note
entity.pilot.0ec11519877c3370,; குடபுலவியனார்,PERSON,possible_match,human_review_required,asrt.b3bcbe8e583d416a9918392f,entity-decision.r1.96ff5ed69402a3c66b051d55,Possible orthographic/punctuation variant; historical identity unresolved.
entity.pilot.5ae1a6bb7c812073,; குறுங்கோழியூர் கிழார்,PERSON,possible_match,human_review_required,asrt.9c10846857035cb4a5227b97,entity-decision.r1.1fd9483c04e5008683669aa2,Variant-form cluster only; historical identity unresolved.
entity.pilot.25136d14cc7d6e75,ஆய்,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.6badf6a48e243cfba81f1213,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.56216726e12ae06b,இரும்பிடர்த் தலையார்,PERSON,candidate_entity,human_review_required,asrt.aa1a4a6915ef9a28e68c1fc1,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.154d6a8f49ea4a9a,இறைவன்,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.36a5a94898c2565cdf2ca5ae|asrt.6ba984a1dd3ba4c8f12da26f,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.5d63fb9417080cc1,உறையூர் ஏணிச்சேரி முடமோசியார்,PERSON,candidate_entity,human_review_required,asrt.3ad6b1da3d790e62cce14da0,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.0d1b5c7b0ffffd1e,ஐயூர் மூலங்கிழார்,PERSON,candidate_entity,human_review_required,asrt.fa76abba432e64358c97d0fb,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.ffe793e29f063938,கபிலர்,PERSON,candidate_entity,human_review_required,asrt.7a940110318dba422a1c3ed3|asrt.c187e944129b976f8e55e967|asrt.f6da3868bd6c21f4598ea89f,entity-decision.r1.8913601e7155475cd2a66bb7,"Exact printed form repeats, but co-reference remains unverified."
entity.pilot.1ee89e63143cddcc,கருங்குழல் ஆதனார்,PERSON,candidate_entity,human_review_required,asrt.ef7e69f7bf4a645b166d2b23,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.704ded771d379f53,கல்லாடனார்,PERSON,candidate_entity,human_review_required,asrt.3b6eebadb3e5fb0917ec593b|asrt.448e2a8237b07f597958b203,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.fec6eadc8610fcdf,கானப்பேரெயில் கடந்த உக்கிரப் பெருவழுதி,RULER_OR_ADDRESSEE,candidate_entity,human_review_required,asrt.091eb88172ae6a03f06195d7,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.3b602be1079b31ac,காரிகிழார்,PERSON,candidate_entity,human_review_required,asrt.39ec0eee26397bcedd16f499,,Surface-form entity only; no claim that variant forms or repeated names denote one historical person.
entity.pilot.b9a9eebb89a1a688,குடபுலவியனார்,PERSON,possible_match,human_review_required,asrt.10527fcab669d4e54fe31532,entity-decision.r1.96ff5ed69402a3c66b051d55,Possible orthographic/punctuation variant; historical identity unresolved.
entity.pilot.efbe668375382cd3,குறுங்கோழியூர் கிழார்,PERSON,possible_match,human_review_required,asrt.cbab9549710085679147d7de,entity-decision.r1.1fd9483c04e5008683669aa2,Variant-form cluster only; historical identity unresolved.
entity.pilot.829965987cc3d618,குறுங்கோழியூர்கிழார்,PERSON,possible_match,human_review_required,asrt.5345a6c6788e6d26f3a6c9e7,entity-decision.r1.1fd9483c04e5008683669aa2,Variant-form cluster only; historical identity unresolved.
